"","Human.Symbol","Homologene_ID","None","Mouse.Symbol","hg19","mm10"
"mm10_Abcb10","ABCB10",6474,"yes","Abcb10","hg19_ABCB10","mm10_Abcb10"
"mm10_Abcb11","ABCB11",74509,"yes","Abcb11","hg19_ABCB11","mm10_Abcb11"
"mm10_Abcb4","ABCB4",136368,"yes","Abcb4","hg19_ABCB4","mm10_Abcb4"
"mm10_Abcb5","ABCB5",83488,"yes","Abcb5","hg19_ABCB5","mm10_Abcb5"
"mm10_Abcb6","ABCB6",11375,"yes","Abcb6","hg19_ABCB6","mm10_Abcb6"
"mm10_Abcb7","ABCB7",3175,"yes","Abcb7","hg19_ABCB7","mm10_Abcb7"
"mm10_Abcb8","ABCB8",5203,"yes","Abcb8","hg19_ABCB8","mm10_Abcb8"
"mm10_Abcb9","ABCB9",10491,"yes","Abcb9","hg19_ABCB9","mm10_Abcb9"
"mm10_Abcc1","ABCC1",133779,"yes","Abcc1","hg19_ABCC1","mm10_Abcc1"
"mm10_Abcc10","ABCC10",58616,"yes","Abcc10","hg19_ABCC10","mm10_Abcc10"
"mm10_Abcc12","ABCC12",57211,"yes","Abcc12","hg19_ABCC12","mm10_Abcc12"
"mm10_Abcc2","ABCC2",68052,"yes","Abcc2","hg19_ABCC2","mm10_Abcc2"
"mm10_Abcc3","ABCC3",68364,"yes","Abcc3","hg19_ABCC3","mm10_Abcc3"
"mm10_Abcc4","ABCC4",74563,"yes","Abcc4","hg19_ABCC4","mm10_Abcc4"
"mm10_Abcc5","ABCC5",21164,"yes","Abcc5","hg19_ABCC5","mm10_Abcc5"
"mm10_Abcc6","ABCC6",55559,"yes","Abcc6","hg19_ABCC6","mm10_Abcc6"
"mm10_Abcc8","ABCC8",68048,"yes","Abcc8","hg19_ABCC8","mm10_Abcc8"
"mm10_Abcc9","ABCC9",56521,"yes","Abcc9","hg19_ABCC9","mm10_Abcc9"
"mm10_Abcd1","ABCD1",55426,"yes","Abcd1","hg19_ABCD1","mm10_Abcd1"
"mm10_Abcd2","ABCD2",55873,"yes","Abcd2","hg19_ABCD2","mm10_Abcd2"
"mm10_Abcd3","ABCD3",2140,"yes","Abcd3","hg19_ABCD3","mm10_Abcd3"
"mm10_Abcd4","ABCD4",3703,"yes","Abcd4","hg19_ABCD4","mm10_Abcd4"
"mm10_Abce1","ABCE1",2205,"yes","Abce1","hg19_ABCE1","mm10_Abce1"
"mm10_Abcf1","ABCF1",849,"yes","Abcf1","hg19_ABCF1","mm10_Abcf1"
"mm10_Abcf2","ABCF2",21408,"yes","Abcf2","hg19_ABCF2","mm10_Abcf2"
"mm10_Abcf3","ABCF3",22784,"yes","Abcf3","hg19_ABCF3","mm10_Abcf3"
"mm10_Abcg1","ABCG1",21022,"yes","Abcg1","hg19_ABCG1","mm10_Abcg1"
"mm10_Abcg2","ABCG2",55852,"yes","Abcg2","hg19_ABCG2","mm10_Abcg2"
"mm10_Abcg4","ABCG4",75179,"yes","Abcg4","hg19_ABCG4","mm10_Abcg4"
"mm10_Abcg5","ABCG5",31909,"yes","Abcg5","hg19_ABCG5","mm10_Abcg5"
"mm10_Abcg8","ABCG8",23361,"yes","Abcg8","hg19_ABCG8","mm10_Abcg8"
"mm10_Abhd1","ABHD1",NA,"yes","Abhd1","hg19_ABHD1","mm10_Abhd1"
"mm10_Abhd10","ABHD10",10173,"yes","Abhd10","hg19_ABHD10","mm10_Abhd10"
"mm10_Abhd11","ABHD11",5961,"yes","Abhd11","hg19_ABHD11","mm10_Abhd11"
"mm10_Abhd12","ABHD12",22910,"yes","Abhd12","hg19_ABHD12","mm10_Abhd12"
"mm10_Abhd12b","ABHD12B",128243,"yes","Abhd12b","hg19_ABHD12B","mm10_Abhd12b"
"mm10_Abhd13","ABHD13",6716,"yes","Abhd13","hg19_ABHD13","mm10_Abhd13"
"mm10_Abhd14a","ABHD14A",22889,"yes","Abhd14a","hg19_ABHD14A","mm10_Abhd14a"
"mm10_Abhd14b","ABHD14B",9125,"yes","Abhd14b","hg19_ABHD14B","mm10_Abhd14b"
"mm10_Abhd15","ABHD15",12142,"yes","Abhd15","hg19_ABHD15","mm10_Abhd15"
"mm10_Abhd16a","ABHD16A",10904,"yes","Abhd16a","hg19_ABHD16A","mm10_Abhd16a"
"mm10_Abhd16b","ABHD16B",15422,"yes","Abhd16b","hg19_ABHD16B","mm10_Abhd16b"
"mm10_Abhd17a","ABHD17A",50272,"yes","Abhd17a","hg19_ABHD17A","mm10_Abhd17a"
"mm10_Abhd17b","ABHD17B",41089,"yes","Abhd17b","hg19_ABHD17B","mm10_Abhd17b"
"mm10_Abhd17c","ABHD17C",26429,"yes","Abhd17c","hg19_ABHD17C","mm10_Abhd17c"
"mm10_Abhd18","ABHD18",105457,"yes","Abhd18","hg19_ABHD18","mm10_Abhd18"
"mm10_Abhd2","ABHD2",23121,"yes","Abhd2","hg19_ABHD2","mm10_Abhd2"
"mm10_Abhd3","ABHD3",14055,"yes","Abhd3","hg19_ABHD3","mm10_Abhd3"
"mm10_Abhd4","ABHD4",56937,"yes","Abhd4","hg19_ABHD4","mm10_Abhd4"
"mm10_Abhd5","ABHD5",41088,"yes","Abhd5","hg19_ABHD5","mm10_Abhd5"
"mm10_Abhd6","ABHD6",23246,"yes","Abhd6","hg19_ABHD6","mm10_Abhd6"
"mm10_Abhd8","ABHD8",11188,"yes","Abhd8","hg19_ABHD8","mm10_Abhd8"
"mm10_Abi1","ABI1",38053,"yes","Abi1","hg19_ABI1","mm10_Abi1"
"mm10_Abi2","ABI2",4209,"yes","Abi2","hg19_ABI2","mm10_Abi2"
"mm10_Abi3","ABI3",9505,"yes","Abi3","hg19_ABI3","mm10_Abi3"
"mm10_Abi3bp","ABI3BP",134172,"yes","Abi3bp","hg19_ABI3BP","mm10_Abi3bp"
"mm10_Fam206a","ABITRAM",56788,"yes","Fam206a","hg19_ABITRAM","mm10_Fam206a"
"mm10_Abl1","ABL1",3783,"yes","Abl1","hg19_ABL1","mm10_Abl1"
"mm10_Abl2","ABL2",5278,"yes","Abl2","hg19_ABL2","mm10_Abl2"
"mm10_Ablim1","ABLIM1",40994,"yes","Ablim1","hg19_ABLIM1","mm10_Ablim1"
"mm10_Ablim2","ABLIM2",82366,"yes","Ablim2","hg19_ABLIM2","mm10_Ablim2"
"mm10_Ablim3","ABLIM3",69175,"yes","Ablim3","hg19_ABLIM3","mm10_Ablim3"
"mm10_Abo","ABO",69306,"yes","Abo","hg19_ABO","mm10_Abo"
"mm10_Abr","ABR",11081,"yes","Abr","hg19_ABR","mm10_Abr"
"mm10_Abra","ABRA",34713,"yes","Abra","hg19_ABRA","mm10_Abra"
"mm10_Abracl","ABRACL",64011,"yes","Abracl","hg19_ABRACL","mm10_Abracl"
"mm10_Abraxas1","ABRAXAS1",16376,"yes","Abraxas1","hg19_ABRAXAS1","mm10_Abraxas1"
"mm10_Abraxas2","ABRAXAS2",12970,"yes","Abraxas2","hg19_ABRAXAS2","mm10_Abraxas2"
"mm10_Abt1","ABT1",134288,"yes","Abt1","hg19_ABT1","mm10_Abt1"
"mm10_Abtb1","ABTB1",32731,"yes","Abtb1","hg19_ABTB1","mm10_Abtb1"
"mm10_Abtb2","ABTB2",15904,"yes","Abtb2","hg19_ABTB2","mm10_Abtb2"
"mm10_Acaa1a","ACAA1",37497,"yes","Acaa1a","hg19_ACAA1","mm10_Acaa1a"
"mm10_Acaa2","ACAA2",4456,"yes","Acaa2","hg19_ACAA2","mm10_Acaa2"
"mm10_Acaca","ACACA",31015,"yes","Acaca","hg19_ACACA","mm10_Acaca"
"mm10_Acacb","ACACB",74382,"yes","Acacb","hg19_ACACB","mm10_Acacb"
"mm10_Acad10","ACAD10",49825,"yes","Acad10","hg19_ACAD10","mm10_Acad10"
"mm10_Acad11","ACAD11",49896,"yes","Acad11","hg19_ACAD11","mm10_Acad11"
"mm10_Acad8","ACAD8",8662,"yes","Acad8","hg19_ACAD8","mm10_Acad8"
"mm10_Acad9","ACAD9",8539,"yes","Acad9","hg19_ACAD9","mm10_Acad9"
"mm10_Acadl","ACADL",37498,"yes","Acadl","hg19_ACADL","mm10_Acadl"
"mm10_Acadm","ACADM",3,"yes","Acadm","hg19_ACADM","mm10_Acadm"
"mm10_Acads","ACADS",20057,"yes","Acads","hg19_ACADS","mm10_Acads"
"mm10_Acadsb","ACADSB",1216,"yes","Acadsb","hg19_ACADSB","mm10_Acadsb"
"mm10_Acadvl","ACADVL",5,"yes","Acadvl","hg19_ACADVL","mm10_Acadvl"
"mm10_Acan","ACAN",137204,"yes","Acan","hg19_ACAN","mm10_Acan"
"mm10_Acap1","ACAP1",22835,"yes","Acap1","hg19_ACAP1","mm10_Acap1"
"mm10_Acap2","ACAP2",8182,"yes","Acap2","hg19_ACAP2","mm10_Acap2"
"mm10_Acap3","ACAP3",23708,"yes","Acap3","hg19_ACAP3","mm10_Acap3"
"mm10_Acat1","ACAT1",6,"yes","Acat1","hg19_ACAT1","mm10_Acat1"
"mm10_Acat2","ACAT2",55855,"yes","Acat2","hg19_ACAT2","mm10_Acat2"
"mm10_Acbd3","ACBD3",11227,"yes","Acbd3","hg19_ACBD3","mm10_Acbd3"
"mm10_Acbd4","ACBD4",32596,"yes","Acbd4","hg19_ACBD4","mm10_Acbd4"
"mm10_Acbd5","ACBD5",12541,"yes","Acbd5","hg19_ACBD5","mm10_Acbd5"
"mm10_Acbd6","ACBD6",12465,"yes","Acbd6","hg19_ACBD6","mm10_Acbd6"
"mm10_Acbd7","ACBD7",82242,"yes","Acbd7","hg19_ACBD7","mm10_Acbd7"
"mm10_Accs","ACCS",75335,"yes","Accs","hg19_ACCS","mm10_Accs"
"mm10_Accsl","ACCSL",86007,"yes","Accsl","hg19_ACCSL","mm10_Accsl"
"mm10_Acd","ACD",23391,"yes","Acd","hg19_ACD","mm10_Acd"
"mm10_Ace","ACE",37351,"yes","Ace","hg19_ACE","mm10_Ace"
"mm10_Ace2","ACE2",41448,"yes","Ace2","hg19_ACE2","mm10_Ace2"
"mm10_Ace3","ACE3P",80337,"yes","Ace3","hg19_ACE3P","mm10_Ace3"
"mm10_Acer1","ACER1",15853,"yes","Acer1","hg19_ACER1","mm10_Acer1"
"mm10_Acer2","ACER2",14986,"yes","Acer2","hg19_ACER2","mm10_Acer2"
"mm10_Acer3","ACER3",5410,"yes","Acer3","hg19_ACER3","mm10_Acer3"
"mm10_Ache","ACHE",543,"yes","Ache","hg19_ACHE","mm10_Ache"
"mm10_Acin1","ACIN1",22853,"yes","Acin1","hg19_ACIN1","mm10_Acin1"
"mm10_Ackr1","ACKR1",48067,"yes","Ackr1","hg19_ACKR1","mm10_Ackr1"
"mm10_Ackr2","ACKR2",992,"yes","Ackr2","hg19_ACKR2","mm10_Ackr2"
"mm10_Ackr3","ACKR3",22419,"yes","Ackr3","hg19_ACKR3","mm10_Ackr3"
"mm10_Ackr4","ACKR4",49474,"yes","Ackr4","hg19_ACKR4","mm10_Ackr4"
"mm10_Acly","ACLY",854,"yes","Acly","hg19_ACLY","mm10_Acly"
"mm10_Acmsd","ACMSD",44520,"yes","Acmsd","hg19_ACMSD","mm10_Acmsd"
"mm10_Aco1","ACO1",1657,"yes","Aco1","hg19_ACO1","mm10_Aco1"
"mm10_Aco2","ACO2",856,"yes","Aco2","hg19_ACO2","mm10_Aco2"
"mm10_Acod1","ACOD1",35405,"yes","Acod1","hg19_ACOD1","mm10_Acod1"
"mm10_Acot1","ACOT1",22686,"yes","Acot1","hg19_ACOT1","mm10_Acot1"
"mm10_Acot11","ACOT11",11977,"yes","Acot11","hg19_ACOT11","mm10_Acot11"
"mm10_Acot12","ACOT12",12540,"yes","Acot12","hg19_ACOT12","mm10_Acot12"
"mm10_Acot13","ACOT13",41273,"yes","Acot13","hg19_ACOT13","mm10_Acot13"
"mm10_Acot2","ACOT2",25661,"yes","Acot2","hg19_ACOT2","mm10_Acot2"
"mm10_Acot4","ACOT4",44237,"yes","Acot4","hg19_ACOT4","mm10_Acot4"
"mm10_Acot6","ACOT6",72506,"yes","Acot6","hg19_ACOT6","mm10_Acot6"
"mm10_Acot7","ACOT7",15780,"yes","Acot7","hg19_ACOT7","mm10_Acot7"
"mm10_Acot8","ACOT8",3991,"yes","Acot8","hg19_ACOT8","mm10_Acot8"
"mm10_Acot9","ACOT9",8206,"yes","Acot9","hg19_ACOT9","mm10_Acot9"
"mm10_Acox1","ACOX1",38299,"yes","Acox1","hg19_ACOX1","mm10_Acox1"
"mm10_Acox2","ACOX2",74473,"yes","Acox2","hg19_ACOX2","mm10_Acox2"
"mm10_Acox3","ACOX3",37792,"yes","Acox3","hg19_ACOX3","mm10_Acox3"
"mm10_Acoxl","ACOXL",75083,"yes","Acoxl","hg19_ACOXL","mm10_Acoxl"
"mm10_Acp1","ACP1",38274,"yes","Acp1","hg19_ACP1","mm10_Acp1"
"mm10_Acp2","ACP2",1217,"yes","Acp2","hg19_ACP2","mm10_Acp2"
"mm10_Acp4","ACP4",57200,"yes","Acp4","hg19_ACP4","mm10_Acp4"
"mm10_Acp5","ACP5",137203,"yes","Acp5","hg19_ACP5","mm10_Acp5"
"mm10_Acp6","ACP6",41128,"yes","Acp6","hg19_ACP6","mm10_Acp6"
"mm10_Acp7","ACP7",23924,"yes","Acp7","hg19_ACP7","mm10_Acp7"
"mm10_Acpp","ACPP",55552,"yes","Acpp","hg19_ACPP","mm10_Acpp"
"mm10_Acr","ACR",855,"yes","Acr","hg19_ACR","mm10_Acr"
"mm10_Acrbp","ACRBP",9641,"yes","Acrbp","hg19_ACRBP","mm10_Acrbp"
"mm10_Acrv1","ACRV1",1219,"yes","Acrv1","hg19_ACRV1","mm10_Acrv1"
"mm10_Acsbg1","ACSBG1",9044,"yes","Acsbg1","hg19_ACSBG1","mm10_Acsbg1"
"mm10_Acsbg2","ACSBG2",57133,"yes","Acsbg2","hg19_ACSBG2","mm10_Acsbg2"
"mm10_Acsf2","ACSF2",23519,"yes","Acsf2","hg19_ACSF2","mm10_Acsf2"
"mm10_Acsf3","ACSF3",14958,"yes","Acsf3","hg19_ACSF3","mm10_Acsf3"
"mm10_Acsl1","ACSL1",37561,"yes","Acsl1","hg19_ACSL1","mm10_Acsl1"
"mm10_Acsl3","ACSL3",3278,"yes","Acsl3","hg19_ACSL3","mm10_Acsl3"
"mm10_Acsl4","ACSL4",56282,"yes","Acsl4","hg19_ACSL4","mm10_Acsl4"
"mm10_Acsl5","ACSL5",69208,"yes","Acsl5","hg19_ACSL5","mm10_Acsl5"
"mm10_Acsl6","ACSL6",100939,"yes","Acsl6","hg19_ACSL6","mm10_Acsl6"
"mm10_Acsm1","ACSM1",24930,"yes","Acsm1","hg19_ACSM1","mm10_Acsm1"
"mm10_Acsm2","ACSM2A",70404,"yes","Acsm2","hg19_ACSM2A","mm10_Acsm2"
"mm10_Acsm3","ACSM3",74559,"yes","Acsm3","hg19_ACSM3","mm10_Acsm3"
"mm10_Acsm4","ACSM4",72281,"yes","Acsm4","hg19_ACSM4","mm10_Acsm4"
"mm10_Acsm5","ACSM5",69242,"yes","Acsm5","hg19_ACSM5","mm10_Acsm5"
"mm10_Acss1","ACSS1",56037,"yes","Acss1","hg19_ACSS1","mm10_Acss1"
"mm10_Acss2","ACSS2",6469,"yes","Acss2","hg19_ACSS2","mm10_Acss2"
"mm10_Acss3","ACSS3",11587,"yes","Acss3","hg19_ACSS3","mm10_Acss3"
"mm10_Acta1","ACTA1",121702,"yes","Acta1","hg19_ACTA1","mm10_Acta1"
"mm10_Acta2","ACTA2",133938,"yes","Acta2","hg19_ACTA2","mm10_Acta2"
"mm10_Actb","ACTB",110648,"yes","Actb","hg19_ACTB","mm10_Actb"
"mm10_Actbl2","ACTBL2",134276,"yes","Actbl2","hg19_ACTBL2","mm10_Actbl2"
"mm10_Actc1","ACTC1",68446,"yes","Actc1","hg19_ACTC1","mm10_Actc1"
"mm10_Actg1","ACTG1",74402,"yes","Actg1","hg19_ACTG1","mm10_Actg1"
"mm10_Actg2","ACTG2",123845,"yes","Actg2","hg19_ACTG2","mm10_Actg2"
"mm10_Actl10","ACTL10",128516,"yes","Actl10","hg19_ACTL10","mm10_Actl10"
"mm10_Actl6a","ACTL6A",55811,"yes","Actl6a","hg19_ACTL6A","mm10_Actl6a"
"mm10_Actl6b","ACTL6B",81844,"yes","Actl6b","hg19_ACTL6B","mm10_Actl6b"
"mm10_Actl7a","ACTL7A",7613,"yes","Actl7a","hg19_ACTL7A","mm10_Actl7a"
"mm10_Actl7b","ACTL7B",21330,"yes","Actl7b","hg19_ACTL7B","mm10_Actl7b"
"mm10_Actl9","ACTL9",77642,"yes","Actl9","hg19_ACTL9","mm10_Actl9"
"mm10_Actn1","ACTN1",55553,"yes","Actn1","hg19_ACTN1","mm10_Actn1"
"mm10_Actn2","ACTN2",31016,"yes","Actn2","hg19_ACTN2","mm10_Actn2"
"mm10_Actn3","ACTN3",862,"yes","Actn3","hg19_ACTN3","mm10_Actn3"
"mm10_Actn4","ACTN4",55857,"yes","Actn4","hg19_ACTN4","mm10_Actn4"
"mm10_Actr10","ACTR10",10220,"yes","Actr10","hg19_ACTR10","mm10_Actr10"
"mm10_Actr1a","ACTR1A",21173,"yes","Actr1a","hg19_ACTR1A","mm10_Actr1a"
"mm10_Actr1b","ACTR1B",101541,"yes","Actr1b","hg19_ACTR1B","mm10_Actr1b"
"mm10_Actr2","ACTR2",4181,"yes","Actr2","hg19_ACTR2","mm10_Actr2"
"mm10_Actr3","ACTR3",68483,"yes","Actr3","hg19_ACTR3","mm10_Actr3"
"mm10_Actr3b","ACTR3B",4180,"yes","Actr3b","hg19_ACTR3B","mm10_Actr3b"
"mm10_Actr5","ACTR5",6818,"yes","Actr5","hg19_ACTR5","mm10_Actr5"
"mm10_Actr6","ACTR6",6451,"yes","Actr6","hg19_ACTR6","mm10_Actr6"
"mm10_Actr8","ACTR8",11286,"yes","Actr8","hg19_ACTR8","mm10_Actr8"
"mm10_Actrt1","ACTRT1",23648,"yes","Actrt1","hg19_ACTRT1","mm10_Actrt1"
"mm10_Actrt2","ACTRT2",23647,"yes","Actrt2","hg19_ACTRT2","mm10_Actrt2"
"mm10_Actrt3","ACTRT3",13038,"yes","Actrt3","hg19_ACTRT3","mm10_Actrt3"
"mm10_Acvr1","ACVR1",7,"yes","Acvr1","hg19_ACVR1","mm10_Acvr1"
"mm10_Acvr1b","ACVR1B",20906,"yes","Acvr1b","hg19_ACVR1B","mm10_Acvr1b"
"mm10_Acvr1c","ACVR1C",26724,"yes","Acvr1c","hg19_ACVR1C","mm10_Acvr1c"
"mm10_Acvr2a","ACVR2A",20391,"yes","Acvr2a","hg19_ACVR2A","mm10_Acvr2a"
"mm10_Acvr2b","ACVR2B",863,"yes","Acvr2b","hg19_ACVR2B","mm10_Acvr2b"
"mm10_Acvrl1","ACVRL1",20058,"yes","Acvrl1","hg19_ACVRL1","mm10_Acvrl1"
"mm10_Acy1","ACY1",110440,"yes","Acy1","hg19_ACY1","mm10_Acy1"
"mm10_Acy3","ACY3",12401,"yes","Acy3","hg19_ACY3","mm10_Acy3"
"mm10_Acyp1","ACYP1",11932,"yes","Acyp1","hg19_ACYP1","mm10_Acyp1"
"mm10_Acyp2","ACYP2",41776,"yes","Acyp2","hg19_ACYP2","mm10_Acyp2"
"mm10_Ada","ADA",37249,"yes","Ada","hg19_ADA","mm10_Ada"
"mm10_Adad1","ADAD1",7569,"yes","Adad1","hg19_ADAD1","mm10_Adad1"
"mm10_Adad2","ADAD2",16392,"yes","Adad2","hg19_ADAD2","mm10_Adad2"
"mm10_Adal","ADAL",13827,"yes","Adal","hg19_ADAL","mm10_Adal"
"mm10_Adam10","ADAM10",865,"yes","Adam10","hg19_ADAM10","mm10_Adam10"
"mm10_Adam11","ADAM11",7614,"yes","Adam11","hg19_ADAM11","mm10_Adam11"
"mm10_Adam12","ADAM12",74862,"yes","Adam12","hg19_ADAM12","mm10_Adam12"
"mm10_Adam15","ADAM15",2829,"yes","Adam15","hg19_ADAM15","mm10_Adam15"
"mm10_Adam17","ADAM17",2395,"yes","Adam17","hg19_ADAM17","mm10_Adam17"
"mm10_Adam18","ADAM18",74941,"yes","Adam18","hg19_ADAM18","mm10_Adam18"
"mm10_Adam19","ADAM19",74925,"yes","Adam19","hg19_ADAM19","mm10_Adam19"
"mm10_Adam1a","ADAM1A",73803,"yes","Adam1a","hg19_ADAM1A","mm10_Adam1a"
"mm10_Adam1b","ADAM1B",136485,"yes","Adam1b","hg19_ADAM1B","mm10_Adam1b"
"mm10_Adam2","ADAM2",1127,"yes","Adam2","hg19_ADAM2","mm10_Adam2"
"mm10_Adam20","ADAM20",128364,"no","Adam20","hg19_ADAM20","mm10_Adam20"
"mm10_Adam21","ADAM21",68365,"yes","Adam21","hg19_ADAM21","mm10_Adam21"
"mm10_Adam22","ADAM22",37898,"yes","Adam22","hg19_ADAM22","mm10_Adam22"
"mm10_Adam23","ADAM23",2826,"yes","Adam23","hg19_ADAM23","mm10_Adam23"
"mm10_Adam24","ADAM24P",137232,"yes","Adam24","hg19_ADAM24P","mm10_Adam24"
"mm10_Adam28","ADAM28",40705,"yes","Adam28","hg19_ADAM28","mm10_Adam28"
"mm10_Adam29","ADAM29",8607,"yes","Adam29","hg19_ADAM29","mm10_Adam29"
"mm10_Adam30","ADAM30",11038,"yes","Adam30","hg19_ADAM30","mm10_Adam30"
"mm10_Adam32","ADAM32",17021,"yes","Adam32","hg19_ADAM32","mm10_Adam32"
"mm10_Adam33","ADAM33",11881,"yes","Adam33","hg19_ADAM33","mm10_Adam33"
"mm10_Adam3","ADAM3A",69052,"yes","Adam3","hg19_ADAM3A","mm10_Adam3"
"mm10_Adam5","ADAM5",49138,"yes","Adam5","hg19_ADAM5","mm10_Adam5"
"mm10_Adam6a","ADAM6",128362,"yes","Adam6a","hg19_ADAM6","mm10_Adam6a"
"mm10_Adam7","ADAM7",2830,"yes","Adam7","hg19_ADAM7","mm10_Adam7"
"mm10_Adam8","ADAM8",74384,"yes","Adam8","hg19_ADAM8","mm10_Adam8"
"mm10_Adam9","ADAM9",20824,"yes","Adam9","hg19_ADAM9","mm10_Adam9"
"mm10_Adamdec1","ADAMDEC1",8711,"yes","Adamdec1","hg19_ADAMDEC1","mm10_Adamdec1"
"mm10_Adamts1","ADAMTS1",21381,"yes","Adamts1","hg19_ADAMTS1","mm10_Adamts1"
"mm10_Adamts10","ADAMTS10",81940,"yes","Adamts10","hg19_ADAMTS10","mm10_Adamts10"
"mm10_Adamts12","ADAMTS12",12808,"yes","Adamts12","hg19_ADAMTS12","mm10_Adamts12"
"mm10_Adamts13","ADAMTS13",16372,"yes","Adamts13","hg19_ADAMTS13","mm10_Adamts13"
"mm10_Adamts14","ADAMTS14",16383,"yes","Adamts14","hg19_ADAMTS14","mm10_Adamts14"
"mm10_Adamts15","ADAMTS15",8610,"yes","Adamts15","hg19_ADAMTS15","mm10_Adamts15"
"mm10_Adamts16","ADAMTS16",15146,"yes","Adamts16","hg19_ADAMTS16","mm10_Adamts16"
"mm10_Adamts17","ADAMTS17",16373,"yes","Adamts17","hg19_ADAMTS17","mm10_Adamts17"
"mm10_Adamts18","ADAMTS18",65241,"yes","Adamts18","hg19_ADAMTS18","mm10_Adamts18"
"mm10_Adamts19","ADAMTS19",15860,"yes","Adamts19","hg19_ADAMTS19","mm10_Adamts19"
"mm10_Adamts2","ADAMTS2",8597,"yes","Adamts2","hg19_ADAMTS2","mm10_Adamts2"
"mm10_Adamts20","ADAMTS20",11808,"yes","Adamts20","hg19_ADAMTS20","mm10_Adamts20"
"mm10_Adamts3","ADAMTS3",8596,"yes","Adamts3","hg19_ADAMTS3","mm10_Adamts3"
